Date,score,vote,weighted_votes
2020-09-19,-0.006828079823406995,0.0,0.11721493545360151
2020-09-20,-0.03437747278426371,2.0,1.258535563069808
2020-09-21,-0.0062077112745844145,5.0,2.772086703007271
2020-09-22,0.009077644200958598,5.0,2.6260481864900465
2020-09-23,0.0017576292403080986,3.0,1.6658035728748526
2020-09-24,-0.011718343919783485,2.0,1.071292391642089
2020-09-25,-0.01053442643563166,-1.0,-0.4705768313510824
2020-09-26,-0.005709029125167168,2.0,1.096423303760207
2020-09-27,-0.016588736670825496,3.0,1.588629351766688
2020-09-28,0.007973241595235835,3.0,1.674859074953435
2020-09-29,0.024623945558976547,6.0,3.2670380397904166
2020-09-30,0.0349474174708278,7.0,3.7976400843902045
2020-10-01,0.03918569523512527,7.0,3.8921857644983895
2020-10-02,0.024755571107219314,5.0,2.8339514342971945
2020-10-03,0.005579708003019624,2.0,1.1203984171797166
2020-10-04,0.015416358418694234,5.0,2.6801466428189222
2020-10-05,0.02061813849371017,4.0,2.193219940174777
2020-10-06,0.011382703119634019,2.0,1.1051396505823843
2020-10-07,0.009208363299425744,0.0,0.03448287092543889
2020-10-08,0.012401143541758365,3.0,1.6623595363970358
2020-10-09,0.006366408176056115,0.0,-0.011515374430918324
2020-10-10,0.010016903545306984,1.0,0.4518167815207069
2020-10-11,0.007397416250258795,2.0,0.9556112859834253
2020-10-12,0.0008645740161847134,-1.0,-0.5917545945004925
2020-10-13,-0.0014784137562415841,-1.0,-0.5806007135859945
2020-10-14,0.002389558077104226,1.0,0.6377528398568499
2020-10-15,0.002401166871683605,0.0,0.024106749370178426
2020-10-16,0.0016598220073229392,-3.0,-1.471710873041825
2020-10-17,-0.004649350823437835,-1.0,-0.4456642402228662
2020-10-18,0.0008235826258466954,-1.0,-0.5798373033996659
2020-10-19,0.015556422063375283,1.0,0.43094944828246773
2020-10-20,0.011296837064103504,1.0,0.5227370148892126
2020-10-21,0.0,0.0,0.0
2020-10-22,0.0,0.0,0.0
2020-10-23,0.0,0.0,0.0
2020-10-24,0.0,0.0,0.0
2020-10-25,0.0,0.0,0.0
2020-10-26,0.0,0.0,0.0
2020-10-27,0.0,0.0,0.0
2020-10-28,0.0,0.0,0.0
2020-10-29,0.0006465070675987304,3.0,1.5899546696853324
2020-10-30,-0.002267140123355037,4.0,2.137184728519564
2020-10-31,-0.006937769123216802,0.0,0.034842463370185484
2020-11-01,-0.00893399199851726,-1.0,-0.4755870755396877
2020-11-02,-0.011286875329523221,-1.0,-0.48810157455332315
2020-11-03,-0.006472747505723007,1.0,0.49715707663190556
2020-11-04,0.0011660765025724945,3.0,1.5809713450904084
2020-11-05,0.00693099761648314,1.0,0.5061720274104873
2020-11-06,0.006267121757246738,1.0,0.6285335577362623
2020-11-07,-0.008708348965736844,-1.0,-0.5492654224096334
2020-11-08,0.0012993483780098963,1.0,0.47699953139922713
2020-11-09,0.0017228891858654834,1.0,0.5903052613377876
2020-11-10,0.0008036276656736821,0.0,0.01731772016794475
2020-11-11,0.0008319754557959806,1.0,0.49715707663190556
2020-11-12,-0.0047867921117138775,0.0,-0.04949827357191772
2020-11-13,-0.0006645322480039683,0.0,-0.1112550348857051
2020-11-14,-0.014983231963275525,-3.0,-1.6138121016452083
2020-11-15,0.002037550672323752,1.0,0.4741895801373849
2020-11-16,-0.0028218617193373477,-1.0,-0.4594747881969864
2020-11-17,0.012336499479184389,2.0,1.2349078634244601
2020-11-18,0.015305250366223181,3.0,1.7745654101028305
2020-11-19,0.015527371668750964,5.0,2.881347175055854
2020-11-20,0.019518489451224044,7.0,3.8998437711746696
2020-11-21,0.0287553891514326,6.0,3.3314300058230613
2020-11-22,0.028749380537274525,7.0,3.8219138017661187
2020-11-23,0.02514955116642943,9.0,4.912079856019508
2020-11-24,0.023195400105366165,9.0,4.912079856019508
2020-11-25,0.022753139222549016,9.0,4.912079856019508
2020-11-26,0.02291618489699546,9.0,4.912079856019508
2020-11-27,0.02360963673648032,7.0,3.7724573345116843
2020-11-28,0.022118586973937027,5.0,2.7191563725734698
2020-11-29,0.02381522023104323,6.0,3.2803356426594465
2020-11-30,0.0,0.0,0.0
2020-12-01,0.0,0.0,0.0
2020-12-02,0.0,0.0,0.0
2020-12-03,0.0,0.0,0.0
2020-12-04,0.0,0.0,0.0
2020-12-05,0.0,0.0,0.0
2020-12-06,0.0,0.0,0.0
2020-12-07,0.0,0.0,0.0
2020-12-08,0.007749082167328235,6.0,3.218643832834708
2020-12-09,0.018197453888183043,7.0,3.7829252924498062
2020-12-10,0.0031826324717565877,5.0,2.6260481864900465
2020-12-11,-0.00032061670934635284,3.0,1.6658035728748526
2020-12-12,-0.011411719986392559,1.0,0.5651743492196696
2020-12-13,-0.004002658585827718,3.0,1.657646931377968
2020-12-14,0.0039033056543289154,0.0,-0.06994209539950902
2020-12-15,0.005638628205883463,5.0,2.659676009900947
2020-12-16,0.0035914206603143606,6.0,3.2670380397904166
2020-12-17,-0.0020624613810212022,4.0,2.125071394443644
2020-12-18,0.00313386609541856,4.0,2.2131687110842364
2020-12-19,0.021410986029961124,5.0,2.760221249666846
2020-12-20,0.02840836472028176,6.0,3.264693915951467
2020-12-21,0.02894248517875746,6.0,3.327608482713539
2020-12-22,0.03338223133128557,7.0,3.8998437711746696
2020-12-23,0.024208476073103596,2.0,1.1649120291928756
2020-12-24,0.025759492274836766,5.0,2.6433027709419834
2020-12-25,0.015905273855235803,2.0,0.9955785678277206
2020-12-26,0.01812910793667717,-1.0,-0.6349428885950072
2020-12-27,0.02326155388282256,2.0,1.0508217587241138
2020-12-28,0.001645789085893086,3.0,1.4864256649822236
2020-12-29,0.005549176733876088,3.0,1.6172561381230246
2020-12-30,0.009945214328524018,5.0,2.879949679653551
2020-12-31,0.007833652232839413,3.0,1.7493826602243103
2021-01-01,0.006656514142771756,3.0,1.7669074034265508
2021-01-02,0.011480374993365933,5.0,2.879949679653551
2021-01-03,0.002591707050679855,5.0,2.8890051817321343
2021-01-04,0.007887436666425187,5.0,2.788050170765204
2021-01-05,0.0009711565457908179,4.0,2.0679192681727887
2021-01-06,-0.005691911406147031,4.0,2.0725729478592925
2021-01-07,-0.010496018636570835,1.0,0.5150790082129332
2021-01-08,-0.013028299200952132,1.0,0.4957595812296026
2021-01-09,0.0,0.0,0.0
2021-01-10,0.0,0.0,0.0
2021-01-11,0.0,0.0,0.0
2021-01-12,0.0,0.0,0.0
2021-01-13,0.0,0.0,0.0
2021-01-14,0.0,0.0,0.0
2021-01-15,0.0,0.0,0.0
2021-01-16,0.0,0.0,0.0
2021-01-17,0.0019708900298103568,4.0,2.264140173543283
2021-01-18,0.0038495126219463744,5.0,2.7202861119138873
2021-01-19,0.002916983707325022,5.0,2.6607296516048793
2021-01-20,0.0015193163524037105,4.0,2.155305904597637
2021-01-21,0.0018385189375518885,3.0,1.6825666664844485
2021-01-22,0.0006320540306146362,3.0,1.6896610048347285
2021-01-23,-0.0031707224631173456,0.0,0.2229738259605093
2021-01-24,-0.0036935074492868885,1.0,0.6042434084584414
2021-01-25,0.0029291130608030463,3.0,1.5921845554891314
2021-01-26,0.0020447136115842096,6.0,3.181778740519534
2021-01-27,-0.007005788267416687,6.0,3.2395111660729468
2021-01-28,-0.008680866384312622,3.0,1.6572234199673204
2021-01-29,-0.006408464518076853,4.0,2.177235251978609
