Date,score,score1
2023-04-01 00:00:00,-0.017184155485237766,-0.03135102534163603
2023-04-01 12:00:00,0.005829579455155833,0.09120689922962939
2023-04-01 18:00:00,0.0,0.0
2023-04-03 06:00:00,-0.012847865233680231,0.06051815762658803
2023-04-03 12:00:00,-0.013681042052874993,-0.008449643215674742
2023-04-03 18:00:00,-0.01153091541372161,-0.0457657146115958
2023-04-04 00:00:00,-0.008894675931009392,0.04189718604917633
2023-04-04 18:00:00,0.0033489294624219667,0.10067189889255236
2023-04-06 06:00:00,-0.012847865233680231,0.06051815762658803
2023-04-06 12:00:00,0.025149129316409103,0.08377940378062035
2023-04-07 00:00:00,0.010010673572972665,0.05914750250972323
2023-04-07 12:00:00,0.0,0.0
2023-04-07 18:00:00,-0.012847865233680231,0.06051815762658803
2023-04-10 12:00:00,0.004282621744560077,-0.008449643215674742
2023-04-11 00:00:00,-0.02036093710822422,0.0437152836740434
2023-04-11 06:00:00,0.005829579455155833,0.09120689922962939
2023-04-11 18:00:00,-0.012847865233680231,0.06051815762658803
2023-04-12 18:00:00,0.014948034561500024,-0.028448445361084332
2023-04-13 12:00:00,-0.12510271696744868,-0.06118513416450956
2023-04-13 18:00:00,0.01195842764920002,0.0682762688666024
2023-04-14 12:00:00,0.03143641164551138,0.10472425472577543
2023-04-15 18:00:00,-0.019930712748666698,0.07382606133768113
2023-04-17 18:00:00,-0.11015468240594865,-0.028448445361084332
2023-04-18 00:00:00,-0.012847865233680231,0.06051815762658803
2023-04-18 06:00:00,0.0,0.0
2023-04-18 12:00:00,0.0,0.0
2023-04-19 12:00:00,0.014543526505874442,0.0
2023-04-19 18:00:00,0.014948034561500024,-0.11948347051655418
2023-04-20 00:00:00,0.0077087191402081395,0.053232752258750904
2023-04-20 06:00:00,-0.0385435957010407,0.1815544728797641
2023-04-20 12:00:00,0.07506163018046923,0.056085697959158
2023-04-20 18:00:00,-0.019930712748666698,0.07382606133768113
2023-04-23 18:00:00,0.03975771250409762,0.062317442176842215
2023-04-24 18:00:00,-0.014047961992434398,0.05187270653707545
2023-04-25 00:00:00,-0.0034977476730935,0.05979037849050306
2023-04-25 06:00:00,-0.012847865233680231,0.06051815762658803
2023-04-26 06:00:00,0.012847865233680231,0.08872125376458484
2023-04-26 12:00:00,-0.041915215527348504,0.07109226492048383
2023-04-26 18:00:00,-0.0034977476730935,0.05979037849050306
2023-04-27 00:00:00,-0.0035039632455491545,0.016504952079978555
2023-04-27 18:00:00,-0.041915215527348504,0.07109226492048383
2023-04-28 12:00:00,0.007584588664150665,0.008814636907084249
2023-05-01 12:00:00,-0.0034977476730935,0.05979037849050306
2023-05-02 00:00:00,-0.012870866022393427,0.05187270653707545
2023-05-02 12:00:00,0.0,0.0
2023-05-03 06:00:00,-0.012847865233680231,0.06051815762658803
2023-05-03 18:00:00,0.009047186827400933,0.043656329787153565
2023-05-04 00:00:00,-0.017184155485237766,-0.03135102534163603
2023-05-04 12:00:00,-0.0034977476730935,0.05979037849050306
2023-05-05 06:00:00,-0.012847865233680231,0.06051815762658803
2023-05-05 18:00:00,0.0,0.0
2023-05-06 00:00:00,-0.019930712748666698,0.07382606133768113
2023-05-07 12:00:00,-0.012847865233680231,0.06051815762658803
2023-05-08 06:00:00,0.0,0.0
2023-05-08 12:00:00,0.0,0.0
2023-05-08 18:00:00,-0.008894675931009392,0.013230690331318847
2023-05-09 12:00:00,0.0,0.0
2023-05-09 18:00:00,0.0,0.0
2023-05-10 00:00:00,0.06683687262298646,0.21185331492895654
2023-05-10 12:00:00,-0.041915215527348504,0.07109226492048383
2023-05-10 18:00:00,-0.02036093710822422,0.0437152836740434
2023-05-12 12:00:00,-0.0032311042217003857,0.0
2023-05-12 18:00:00,0.0,0.0
2023-05-13 18:00:00,0.033934895180373695,0.099988747854999
2023-05-15 18:00:00,0.0,0.0
2023-05-16 00:00:00,0.009047186827400933,0.043656329787153565
2023-05-16 18:00:00,-0.019930712748666698,0.07382606133768113
2023-05-17 18:00:00,0.014948034561500024,0.085345336083253
2023-05-18 18:00:00,0.0,0.0
2023-05-19 18:00:00,0.0,0.0
2023-05-20 12:00:00,0.0,0.0
2023-05-22 12:00:00,0.0,0.0
2023-05-22 18:00:00,0.005829579455155833,0.09120689922962939
2023-05-23 00:00:00,-0.017184155485237766,-0.03135102534163603
2023-05-25 12:00:00,0.0,0.0
2023-05-25 18:00:00,-0.00854173403514287,0.0
2023-05-26 12:00:00,-0.03805660882204283,0.07541411576060973
2023-05-30 18:00:00,-0.014948034561500024,0.05536954600326085
2023-05-31 18:00:00,0.033934895180373695,0.099988747854999
2023-06-01 18:00:00,-0.041915215527348504,0.07109226492048383
2023-06-02 18:00:00,0.033934895180373695,0.099988747854999
2023-06-03 00:00:00,-0.017184155485237766,-0.03135102534163603
2023-06-03 12:00:00,0.07506163018046923,0.056085697959158
2023-06-05 06:00:00,0.009047186827400933,0.043656329787153565
2023-06-05 18:00:00,-0.007106478551247741,0.08629019905075917
2023-06-06 18:00:00,0.014948034561500024,0.085345336083253
2023-06-08 00:00:00,-0.017184155485237766,-0.03135102534163603
2023-06-08 12:00:00,-0.05361545012890658,-0.052444400712436764
2023-06-09 18:00:00,0.01195842764920002,0.0682762688666024
2023-06-11 18:00:00,-0.007539243183967566,0.10662910963716139
2023-06-15 18:00:00,-0.041915215527348504,0.07109226492048383
2023-06-16 00:00:00,-0.017184155485237766,-0.03135102534163603
2023-06-17 00:00:00,0.017184155485237766,-0.013986246199181433
2023-06-18 18:00:00,0.0,0.0
