Date,score,votes,weighted_votes
2023-04-03,-0.08401443964044221,0.0,0.0
2023-04-04,0.07861464584510268,0.0,0.0
2023-04-05,0.12601858432901097,2.0,1.0
2023-04-06,-0.10612932793856886,0.0,0.0
2023-04-07,0.044227516721664924,0.0,0.0
2023-04-08,0.041662191982455576,2.0,1.0
2023-04-09,0.048440045012365957,1.0,0.5
2023-04-10,0.02989851317039873,1.0,0.5
2023-04-11,0.04513949739700693,2.0,1.0
2023-04-12,0.11477634069832271,1.0,0.5
2023-04-13,0.027584325180160373,-1.0,-0.5
2023-04-14,0.111614806921305,1.0,0.5
2023-04-15,0.005331432090596607,-1.0,-0.5
2023-04-16,-0.027777777777777776,0.0,0.0
2023-04-17,0.07673688638770752,0.0,0.0
2023-04-18,0.016284833105004417,0.0,0.0
2023-04-19,0.0029515640214715227,1.0,0.5
2023-04-20,0.10715434771292887,3.0,1.5
2023-04-21,-0.006074584390587823,-2.0,-1.0
2023-04-22,0.017662302123451816,1.0,0.5
2023-04-23,0.0314995957612231,1.0,0.5
2023-04-24,0.06316287805180523,2.0,1.0
2023-04-25,0.04486895237502356,1.0,0.5
2023-04-26,-0.07718656639232101,-1.0,-0.5
2023-04-27,0.014777584311763327,1.0,0.5
2023-04-28,0.11454449816027423,1.0,0.5
2023-04-29,-0.0961946677177119,-2.0,-1.0
2023-04-30,0.02639158613516739,1.0,0.5
2023-05-01,0.000463890521979401,1.0,0.5
2023-05-02,0.07063346612503775,2.0,1.0
2023-05-03,0.07227742376993669,1.0,0.5
2023-05-04,0.0017067135263572342,1.0,0.5
2023-05-05,0.1088366436367923,1.0,0.5
2023-05-06,0.017772557128811574,0.0,0.0
2023-05-07,0.1386716281959642,2.0,1.0
2023-05-08,-0.08396712456686917,0.0,0.0
2023-05-09,0.17936001502190557,3.0,1.5
2023-05-10,0.06055089549191844,2.0,1.0
2023-05-11,0.08456544755389356,2.0,1.0
2023-05-12,0.032552114168457345,0.0,0.0
2023-05-13,-0.04194915812477154,0.0,0.0
2023-05-14,-0.035596702514424816,0.0,0.0
2023-05-15,0.15873015873015872,2.0,1.0
2023-05-16,0.1578291338921879,2.0,1.0
2023-05-17,-0.1605905059950262,-1.0,-0.5
2023-05-18,0.3055555555555555,3.0,1.5
2023-05-19,0.027777777777777776,0.0,0.0
2023-05-20,0.1111111111111111,1.0,0.5
2023-05-21,0.0,0.0,0.0
2023-05-22,0.02825441959711288,1.0,0.5
2023-05-23,0.028879220404670114,1.0,0.5
2023-05-24,0.015284546255605812,1.0,0.5
2023-05-25,0.019640981133220832,1.0,0.5
2023-05-26,0.12368889398996595,2.0,1.0
2023-05-27,-0.09083855412097558,0.0,0.0
2023-05-28,-0.1111111111111111,-1.0,-0.5
2023-05-29,0.0,0.0,0.0
2023-05-30,0.08333333333333333,1.0,0.5
2023-05-31,-0.19444444444444442,-2.0,-1.0
2023-06-01,-0.1388888888888889,-1.0,-0.5
2023-06-02,0.1746031746031746,1.0,0.5
2023-06-03,-0.0021002318453703372,1.0,0.5
2023-06-04,0.050111974771755954,0.0,0.0
2023-06-05,-0.03636363636363636,0.0,0.0
2023-06-06,-0.08874688446402448,-2.0,-1.0
2023-06-07,-0.021184267030888985,1.0,0.5
2023-06-08,0.052143283072728516,1.0,0.5
2023-06-09,-0.17777777777777776,-2.0,-1.0
2023-06-10,0.11428571428571427,2.0,1.0
2023-06-11,0.04444444444444444,0.0,0.0
2023-06-12,-0.1111111111111111,-1.0,-0.5
2023-06-13,0.1111111111111111,1.0,0.5
2023-06-14,0.0,0.0,0.0
2023-06-15,-0.047619047619047616,-1.0,-0.5
2023-06-16,0.1385281385281385,2.0,1.0
2023-06-17,-0.1385281385281385,-2.0,-1.0
2023-06-18,0.15757575757575756,2.0,1.0
2023-06-19,0.06666666666666667,1.0,0.5
2023-06-20,0.06666666666666667,1.0,0.5
2023-06-21,0.010142028165586313,1.0,0.5
2023-06-22,0.03584655077027056,2.0,1.0
2023-06-23,-0.10059479348117746,-1.0,-0.5
2023-06-24,0.10348508356264574,2.0,1.0
2023-06-25,-0.08333333333333333,-1.0,-0.5
2023-06-26,-0.047619047619047616,-1.0,-0.5
2023-06-27,-0.030219185936648157,0.0,0.0
