Date,score
2020-11-03,0.8041038679122338
2020-11-04,0.160302390027682
2020-11-05,0.1707568937251396
2020-11-06,0.006148354653531009
2020-11-07,0.0
2020-11-08,0.12338701488811452
2020-11-09,-0.013656432025349287
2020-11-10,0.32502649160096775
2020-11-11,0.022963953492060783
2020-11-12,-0.05389883336282792
2020-11-13,0.32070348842360785
2020-11-14,0.03333375867773805
2020-11-15,-0.2060170316967001
2020-11-16,-0.5130994227911053
2020-11-17,0.2028408406830446
2020-11-18,-0.2221921788358924
2020-11-19,-0.03268238840761556
2020-11-20,0.1902277154262245
2020-11-21,0.0
2020-11-22,0.07497933248784674
2020-11-23,-0.8302206886259493
2020-11-24,0.16845732870064392
2020-11-25,0.0
2020-11-26,0.0
2020-11-27,-0.6275951642929986
2020-11-28,0.0880593008552462
2020-11-29,0.6868464720203531
2020-11-30,-0.3200655732481331
2020-12-01,-0.5489806179532023
2020-12-02,0.11210232408570779
2020-12-03,0.01823954431011288
2020-12-04,0.0
2020-12-05,0.20730948221092316
2020-12-06,0.3469303585644236
2020-12-07,-0.06263622491493122
2020-12-08,-0.037772379819449996
2020-12-09,0.0
2020-12-10,-0.15187528378721238
2020-12-11,-0.244988994665578
2020-12-12,0.06211491622332039
2020-12-13,0.0528725725960599
2020-12-14,0.1148805574299699
2020-12-15,-0.051684663497728024
2020-12-16,0.0
2020-12-17,0.03527509157813549
2020-12-18,-0.42994616489600707
2020-12-19,1.0
2020-12-20,0.0
2020-12-21,-0.05618731289806201
2020-12-22,-0.12549324910019377
2020-12-23,0.03792303018676401
2020-12-24,0.14955630634438496
2020-12-25,0.3006729774225004
2020-12-26,-0.695960653335944
2020-12-27,-0.06786293654966565
2020-12-28,0.25378834846108805
2020-12-29,-0.06920009862947207
2020-12-30,-0.07097446938118562
2020-12-31,0.43333264167160856
2021-01-01,-0.16362489556550594
2021-01-02,0.0
2021-01-03,0.6479581567533483
2021-01-04,-0.22574595186260282
2021-01-05,0.3230081997042996
2021-01-06,0.38023109755401235
2021-01-07,0.2124023616237364
2021-01-08,0.0
2021-01-09,-0.06136373906030601
2021-01-10,-0.1267769507588292
2021-01-11,-0.024087409877739583
2021-01-12,-0.45704759741623546
2021-01-13,0.0
2021-01-14,0.08460065787590433
2021-01-15,-0.11865765895684759
2021-01-16,-0.09488094603873656
2021-01-17,-0.3698093823319418
2021-01-18,-0.06479312217005502
2021-01-19,-0.16007073703685923
2021-01-20,-0.25811185460719205
2021-01-21,-0.024771979509958336
2021-01-22,0.2487655742820695
2021-01-23,-0.02777489770881123
2021-01-24,0.2623137824632559
2021-01-25,0.21606777303642996
2021-01-26,0.13442410956301734
2021-01-27,-0.3063330485851181
2021-01-28,0.14863978861165777
2021-01-29,-0.06733773404558463
2021-01-30,0.22395707413708196
2021-01-31,0.09491891365597316
2021-02-01,0.8752294757108302
2021-02-02,0.14931445043920716
2021-02-03,-0.07369065202735167
2021-02-04,-0.16753224291650112
2021-02-05,0.050332044700631316
2021-02-06,0.030757594559986133
2021-02-07,0.6587754151373735
2021-02-08,0.36741162910938724
2021-02-09,0.23141308933467558
2021-02-10,-0.07984218417107233
2021-02-11,0.00161222509363957
2021-02-12,-0.1699670411130751
2021-02-13,-0.5335069490036897
2021-02-14,0.20258172989114906
2021-02-15,0.0
2021-02-16,0.46470823057082544
2021-02-17,-0.10854148241448813
2021-02-18,0.10460070328078745
2021-02-19,0.0
2021-02-20,-0.32797716324710074
2021-02-21,0.25660853097393727
2021-02-22,0.6500608678467023
2021-02-23,-1.0
2021-02-24,0.1414084148861176
2021-02-25,0.06753589409052499
2021-02-26,0.0
2021-02-27,-0.8987944044653039
2021-02-28,0.0
2021-03-01,0.07741572152213572
2021-03-02,-0.1052321018760371
2021-03-03,0.3005270926067183
2021-03-04,-0.009166858170838423
2021-03-05,0.30889630443881466
2021-03-06,0.005487839697650748
2021-03-07,0.2798886950599113
2021-03-08,-0.15177870830419082
2021-03-09,0.38595582487753594
2021-03-10,0.01817104397851601
2021-03-11,0.1941561295811746
2021-03-12,-0.388732964145182
2021-03-13,0.2396384436621268
2021-03-14,-0.18197595120448876
2021-03-15,-0.44806718824048947
2021-03-16,0.5009371530901822
2021-03-17,0.24312842299676857
2021-03-18,-0.2649497821942477
2021-03-19,0.09037950373244237
2021-03-20,0.08615085376730704
2021-03-21,-0.15910161795153588
2021-03-22,-0.2727456307740615
2021-03-23,0.7686174164337566
2021-03-24,-0.12642498377011377
2021-03-25,0.0
2021-03-26,0.2642888084395028
2021-03-27,0.08579642277280249
2021-03-28,0.0
2021-03-29,0.0
2021-03-30,0.07393925496268018
